2023-03-16: 23/43 * 56/9 = 1288/387; ошибок 0 ; - ; 
2023-03-16: 34/73 + 45/23 = 4067/1679; ошибок 0 ; - ; 
2023-03-16: 34/34 * 56/23 = 1904/782; ошибок 0 ; - ; 
2023-03-16: 23/45 - 12/68 = 1024/3060; ошибок 0 ; - ; 
2023-03-16: 12/12 - 12/12 = 0/144; ошибок 0 ; - ; 
2023-03-16: 3.0+5.0i * 3.0+7.0i = -26.0+36.0i; ошибок 0 ; - ; 
2023-03-16: 2.0+5.0i + 4.0+5.0i = 6.0+10.0i; ошибок 0 ; - ; 
2023-03-16: 3.0+5.0i * 5.0+7.0i = -20.0+46.0i; ошибок 0 ; - ; 
2023-03-16: 1/3 + 2/3 = 9/9; ошибок 0 ; - ; 
2023-03-16: 2/3 - 1/3 = 3/9; ошибок 0 ; - ; 
2023-03-16: 2/3 - 1/3 = 1/3; ошибок 0 ; - ; 
2023-03-16: 1/3 + 1/3 = 2/3; ошибок 0 ; - ; 
2023-03-16: 1/3 * 1/3 = 1/9; ошибок 0 ; - ; 
2023-03-16: 1/3 * 1/3 = 3/3; ошибок 0 ; - ; 
2023-03-16: 1/3 + 1/3 = 2/3; ошибок 0 ; - ; 
2023-03-16: 1/3 - 1/3 = 0/1; ошибок 0 ; - ; 
2023-03-16: 1/3 * 1/3 = 1/9; ошибок 0 ; - ; 
2023-03-16: 1/3 * 1/3 = 1/1; ошибок 0 ; - ; 
2023-03-16: 2.0+3.0i + 2.0+3.0i = 4.0+6.0i; ошибок 0 ; - ; 
2023-03-16: 5.0+6.0i - 2.0+3.0i = 3.0+3.0i; ошибок 0 ; - ; 
2023-03-16: 2.0+3.0i * 2.0+3.0i = -5.0+12.0i; ошибок 0 ; - ; 
2023-03-16: 12.0+8.0i / 2.0+2.0i = 5.0 -1.0i; ошибок 0 ; - ; 
